student,exams
023cf7a973aecc6d2d92ef1a4257d8cd2e26e997d38c6ff18955a42e01cf3970,"['MLG59', '1-8986', '1-9365', '1-18973', 'MLG35', '1-18927']"
023e636b535a7bdb6a1c2f92f5ce5a6b8133ee50d140db83ebf2a64520ff2dc3,"['1-7725', 'MLG63', '1-6678', '1-6591']"
024214ebf5448359a4d15a07edca936061443875fa7d36cb83437443125b46b3,"['1-3047', 'MLG33']"
02422f5e4158efcb38ce79c340a1a98ff2019f4e6692507b9e7fbb234793adf9,"['1-0917', '1-7425', 'MLG62', '1-5228', 'MLG33']"
0244045884e792f4c6bab37b37a6d7b0ca27b97f5cf3b072e90b6ac8c202529f,"['1-6168', '1-6199', '1-3026']"
02452bd9a46dd54ab6e86e2d3a8286f8aa0360544652e0d67b571b79745d054b,"['MLG11', '1-8990', '1-6678']"
0245ac85a1779e8a829212aba13b807c78d68864d4d8b36e03b0d4ba8fcd64f3,['1-2485']
0246bfb75dda0cb39a52b35204c25cbc4a926fcadb52227ae82598b4a36c0c4e,"['MLG67', 'MLG15', 'MLG64']"
0247fab9379ff02bf52f8dfda3df9534c625a6430b72aa15eb00353dcea1bc8c,"['1-7946', 'MLG14', 'MLG63']"
024ba528cea237011fee06dfc7443a9813a516ebffc9ecef491cb73af350dd5c,['1-7886']
0250c3c9db564f0f39e1de9422e4a228ff1036a189f7ac579d35d666eab03957,['1-7449']
02575abdd1af31df301e6de2f9c86a9e1963241a26c139fcdd62838f264831fa,"['1-0983', '1-1131', '1-3186']"
025b2ce1415876415f12479006f60b0b280e0136ecaa2e63a472c1a72fe5c510,"['1-5635', '1-7460', '1-6569', '1-3056', '1-19257']"
025b9dff3c9b4aa8ac209fae9f03723680e441b00536aa4709f41a1923dd155d,"['1-9294', '1-3047', 'MLG28', 'MLG11']"
0262e19413cee8d0b2827c8f620e848b0e0426008f9bf673123dd6a0e5644683,['1-7943']
026b30a8252887d4dc8fc38fac8fc8f4bc6c7d2f8dd56cea28e5006d9ac4a846,"['1-1131', '1-3174', '1-8702', '1-3152']"
026b62ac04e2575c0f4c3cb6fbdd2429b3b85c97cec3771a03002f052e730419,"['1-1035', '1-1047']"
026b90be707cec8c7c08dbc7d7a9d29710e8c8800c8d2ff09c3ebe3167a09843,"['1-8165', 'MLG03']"
026c0e9c1b2ec680630c78d57c5dc49ef5379bd6d8c7343abb8dfa1682430eba,"['MLG12', '1-3405', 'MLG33']"
0272deabcaa3adb3fc7b092fe6ce524c4a47e185358153c5a68cecada4765892,"['1-7936', '1-3523', 'MLG15']"
027520315be09ed8e2e950261a910755ea1fe33b3b9132db759fb646efab0ed2,['1-9543']
027627b52565b2d9ae4cc07479d69b0bb7e9b5d290e77eba0cfbe7f9133bcd4e,"['1-2292', 'MLG70', 'MLG14', 'MLG63']"
027dacd352f4ec9df97aee6449654da9b2a10ef5d57ea9a79abfe343f028e498,"['1-0691', '1-4766', '1-6957']"
027ef4cc88a8323f4c54c1c73c082930ffbcb8153fbaa42c89d37e6730049527,['MLG76']
02882c721287d4d4001e7139b7f3432cf2fe6cf60254a6e74b6bfd507c733cd6,"['1-7900', 'MLG17']"
028bf6912a8eb9f8a5fdefc5f58e924640863de22f7271449d4b7376b7cac8c8,"['1-8484', 'MLG06', '1-3026', 'MLG08', 'MLG09']"
0290c2d2a7f4a7c56e7bc68a58da12b79bfa7d109458ecf06f564f25cb9f2c17,"['1-7870', '1-7870', '1-8039']"
02958d44c50f03555792e4a43d1f48097544e4f3e4265e4155206dca401fd15a,"['1-1964', 'MLG15', 'MLG63']"
029699b48a985088537336ad30cc09849e731470c88ed26bb16810348a7a4e5a,"['1-9114', '1-8611']"
02992d42944fd6486fb63dbe37ce002a6d31c206ec91e949fea459481ce40029,"['1-1687', '1-3364']"
02a121d33565f1d65bd679a86d714c39d1db0609c07055460fb200a55419e9ea,"['MLG66', 'MLG03', '1-3186', '1-5228']"
02a50e1e536983db9305fd7f8878f17952cef4434143d5c6e4937d49fc462d0f,['1-3026']
02a6583b60031e2f0504394887e0f1cc2fc2c3d1513e0805c60f88580108a5d8,"['1-9515', '1-19133']"
02ab682b78e7c4d44e0b9cc600fa75cb11ac140af149642f3c7ae1afbfe5a3bf,"['1-0691', '1-4766', '1-7901', '1-3186', '1-7302']"
02b2712c365242f5b521d2967c08f2fcb04e67c0645a0a03990b2ed3a1475736,"['1-3026', '1-18507']"
02b8a8ddca2267c6649e033a13a527ffec8441854e569787755a6ab653166268,"['1-0983', '1-9499']"
02b8b5459ee83214e981a2d259c13b2ed1686680d8e73a97dc750ea0ae6362b6,"['MLG59', '1-8765', '1-10018']"
02b980aa06a9c96639826c901904f9fbbd9dce67b5f335e7ee1613c8977535b5,['1-5159']
02b98bf5a4cba5e17459f4f42e78bb902b564fb66c245f6457cb068bc51fd5e0,"['1-1514', '1-8567', '1-20068']"
02bb1dbcc3e5f71cd8896dfce2d3f5440d0777b98c95aa3c988062582c15879a,"['1-2364', '1-7462', '1-19891']"
02bd09e52e23124786e04a1510fe4dac48f04d44add5c6db2e9aae80089efd49,"['1-18507', '1-8044', '1-11205']"
02c0c3729b0b4d1dc0a034f838f6f70d44bebafa8ff0f1452d7a79376617cbbd,"['1-1530', '1-1633', '1-5531', '1-3717']"
02c1ed443747293a616a20d5a4266148a15c1e0085f4e0652f675f56bc9266d3,"['1-18507', '1-10808', '1-8061']"
02c3d8eb405c4ff39282f21f59878e517e4cac11dc4b14f7b10ed13f1ae815df,"['1-2292', '1-6684', 'MLG71', '1-7038']"
02c803428bda47cc0c913ddfc1cd7877d50147d22bf0eb1684a1be57bcc8b7e8,"['1-4011', '1-3026']"
02c90d09749c93f5a4a7ad1a08259c30ae7bbc97b43949b2f133adaf11740f6e,"['1-8834', '1-8735']"
02ca195f1971cdc5d8f1b04cd0c562c4820a494e89d268dd9b66fb2326f9c561,['1-11209']
02cbbabab8973b12b606ef76986da438f68a8c1176ecb96f3acb5c55170119e1,"['1-5109', '1-5537']"
02cc17e027082731ba866c31ed0d2136704a4cd657a892691d96e4719c6c50d3,"['1-4654', '1-8165', 'MLG02', 'MLG11']"
02cda0433775183da7487e02199f9f4975482351baa6e3aad858f3cda1b7eac7,"['1-0918', '7W2-0103']"
02cf25cef0e90ffe5e506af64fa6ce6877536c90db22c390021882f19898fb9b,"['1-2292', '1-3174', '1-3047', 'MLG64']"
02cf692416f0ebacd18cbc574cf24c71677e439f635e8374d975bf8a734fadec,"['1-7402', '1-8165', '1-8711', '1-3186']"
02d724f53a572c885c682f990d9e147e93a12c8bdcdcd2f02a00fb6c11beb02f,['1-3037']
02dc9ff37c06cab9a6bbf1984cd09c6c7a0e39d716359a1f3addf18844319a4b,['MLG66']
02dcd3e453052c32ba507807ce1202eafaf8fda21e0e3fc3bde6bb141060f749,['MLG62']
02ded62dc8881906ff8180b90d113b90e39f50e3a0cdbc8e9ab13a0ca26b6694,['MLG17']
02e6b459d5e469b663ab8056a1da214cb8fbd35f4a8e138bcf76579578fd01e3,['1-8300']
02f14d44bc5d6fb084e68abded46d0eb8f2885c9c50f4c944dc84253021fc86c,"['MLG63', '1-6568', '1-6569', 'MLG43', '1-3186']"
02f30c6b7f48d860ba60c61710097ea0e7b8cd17d4d42713b37c8c7da9bf7c12,"['1-9276', 'MLG51', '1-11438', 'MLG55']"
