,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
115,1-8328,21,16,1-8328,114,17,0,29,34.68782764673233,0.3042791898836169
116,1-8172,15,13,1-8172,40,6,0,10,12.09925091266632,0.302481272816658
117,1-9667,2,12,1-9667,14,3,0,2,4.219850182533264,0.3014178701809474
118,1-20167,2,12,1-20167,56,4,0,21,16.808426916599274,0.3001504806535585
119,1-2545,22,20,1-2545,145,41,0,4,43.43970036506653,0.2995841404487346
120,1-9650,12,4,1-9650,25,5,0,4,7.439700365066528,0.2975880146026611
121,1-13247,1,18,1-13247,29,8,0,1,8.609925091266632,0.2968939686643666
122,1-18714,7,5,1-18714,32,4,0,9,9.489325821399689,0.2965414319187403
123,1-18994,19,3,1-18994,28,4,0,7,8.269475638866425,0.2953384156738008
124,1-7991,20,11,1-7991,46,5,0,14,13.53895127773285,0.2943250277768011
125,1-8067,7,5,1-8067,322,41,0,88,94.67340803146362,0.294016795128769
126,1-8928,9,17,1-8928,39,9,0,4,11.439700365066528,0.2933256503863212
127,MLG60,2,12,MLG60,47,4,0,16,13.758801460266112,0.2927404566014067
128,1-2297,7,5,1-2297,25,3,0,7,7.269475638866425,0.2907790255546569
129,1-8576,16,6,1-8576,55,8,0,13,15.929026186466215,0.2896186579357494
130,MLG45,17,21,MLG45,70,16,0,7,20.269475638866425,0.2895639376980918
131,MLG39,19,3,MLG39,23,3,0,6,6.6595505475997925,0.2895456759825996
132,1-6974,5,9,1-6974,207,53,0,11,59.70917600393295,0.2884501256228645
133,1-6647,2,12,1-6647,62,5,0,21,17.808426916599274,0.287232692203214
134,1-8100,9,17,1-8100,19,3,0,4,5.439700365066528,0.2863000192140278
135,1-19915,13,7,1-19915,62,11,0,11,17.709176003932953,0.2856318710311766
136,1-2400,9,17,1-2400,49,3,0,18,13.978651642799376,0.2852786049550893
137,1-18615,21,16,1-18615,22,5,0,2,6.219850182533264,0.2827204628424211
138,1-1957,6,15,1-1957,47,9,0,7,13.269475638866425,0.2823292689120515
139,1-1183,15,13,1-1183,45,4,0,14,12.53895127773285,0.2786433617273966
140,MLG84,6,15,MLG84,63,12,0,9,17.48932582139969,0.2776083463714236
141,1-1592,19,3,1-1592,32,4,0,8,8.879400730133057,0.277481272816658
142,1-8181,6,15,1-8181,30,4,0,7,8.269475638866425,0.2756491879622141
143,1-9722,21,16,1-9722,22,3,0,5,6.04962545633316,0.2749829752878709
144,1-6693,8,2,1-6693,98,22,0,8,26.879400730133057,0.274279599287072
145,1-8488,15,13,1-8488,23,2,0,7,6.269475638866425,0.2725858973420184
146,1-1769,20,5,1-1769,89,12,0,20,24.19850182533264,0.2718932789363218
147,1-1015,1,18,1-1015,155,11,0,51,42.10617965459824,0.2716527719651499
148,1-2103,14,8,1-2103,26,4,0,5,7.04962545633316,0.2711394406281985
149,1-19547,16,6,1-19547,66,5,0,21,17.808426916599274,0.2698246502515041
150,1-9946,12,4,1-9946,12,2,0,2,3.219850182533264,0.2683208485444386
151,1-9902,16,6,1-9902,30,5,0,5,8.04962545633316,0.2683208485444386
152,1-3106,18,14,1-3106,34,3,0,10,9.09925091266632,0.267625026843127
153,1-0053,8,2,1-0053,142,33,0,8,37.87940073013306,0.2667563431699511
154,1-3141,14,8,1-3141,136,13,0,38,36.17715346813202,0.2660084813833236
155,1-6787,18,14,1-6787,56,10,0,8,14.879400730133057,0.2657035844666617
156,1-0296,13,13,1-0296,41,6,0,8,10.879400730133057,0.2653512373203184
157,1-18234,4,10,1-18234,43,4,0,12,11.319101095199583,0.263234909190688
158,1-1350,18,14,1-1350,195,28,0,38,51.17715346813202,0.2624469408622155
159,1-5530,21,16,1-5530,7,0,0,3,1.829775273799896,0.2613964676856994
160,1-5425,21,16,1-5425,17,2,0,4,4.439700365066528,0.2611588450039134
161,1-8646,11,19,1-8646,20,4,0,2,5.219850182533264,0.2609925091266632
162,1-4929,7,5,1-4929,10,2,0,1,2.609925091266632,0.2609925091266632
163,1-5626,14,8,1-5626,125,2,0,50,32.496254563331604,0.2599700365066528
164,1-9630,14,8,1-9630,33,3,0,9,8.489325821399689,0.2572522976181723
165,1-6061,19,2,1-6061,40,6,0,7,10.269475638866425,0.2567368909716606
166,1-4634,20,11,1-4634,48,8,0,7,12.269475638866425,0.2556140758097172
167,MLG69,13,7,MLG69,576,75,0,118,146.9711607694626,0.2551582652247614
168,1-1989,1,18,1-1989,46,5,0,11,11.709176003932953,0.2545473044333251
169,1-8910,10,1,1-8910,137,33,0,3,34.829775273799896,0.2542319363051087
170,1-20641,9,17,1-20641,16,1,0,5,4.04962545633316,0.2531015910208225
171,1-9770,17,21,1-9770,50,12,0,1,12.609925091266632,0.2521985018253326
172,1-7819,2,12,1-7819,59,10,0,8,14.879400730133057,0.2521932327141196
173,1-8705,6,15,1-8705,48,9,0,5,12.04962545633316,0.2510338636736075
174,1-5891,20,11,1-5891,96,18,0,10,24.09925091266632,0.2510338636736075
175,MLG02,4,10,MLG02,320,33,0,77,79.96423202753067,0.2498882250860333
176,1-9963,14,8,1-9963,116,16,0,21,28.80842691659928,0.2483485079017178
177,1-3639,8,2,1-3639,17,3,0,2,4.219850182533264,0.2482264813254861
178,MLG38,20,11,MLG38,77,13,0,10,19.09925091266632,0.2480422196450171
179,1-1131,20,11,1-1131,138,17,0,28,34.0779025554657,0.2469413228656934
180,1-3516,21,16,1-3516,156,14,0,40,38.39700365066528,0.2461346387863159
181,1-6035,15,8,1-6035,23,2,0,6,5.6595505475997925,0.2460674151130344
182,1-1005,8,2,1-1005,125,24,0,11,30.70917600393296,0.2456734080314636
183,1-8590,2,12,1-8590,24,1,0,8,5.879400730133057,0.2449750304222107
184,1-5990,4,10,1-5990,5,0,0,2,1.2198501825332642,0.2439700365066528
185,1-9417,7,5,1-9417,76,13,0,9,18.48932582139969,0.2432806029131538
